PassengerId,Survived
892.000000,0
893.000000,0
894.000000,0
895.000000,0
896.000000,0
897.000000,0
898.000000,1
899.000000,0
900.000000,1
901.000000,0
902.000000,0
903.000000,0
904.000000,1
905.000000,0
906.000000,1
907.000000,1
908.000000,0
909.000000,0
910.000000,0
911.000000,1
912.000000,0
913.000000,0
914.000000,1
915.000000,0
916.000000,1
917.000000,0
918.000000,1
919.000000,0
920.000000,0
921.000000,0
922.000000,0
923.000000,0
924.000000,0
925.000000,0
926.000000,0
927.000000,0
928.000000,0
929.000000,0
930.000000,0
931.000000,0
932.000000,0
933.000000,0
934.000000,0
935.000000,1
936.000000,1
937.000000,0
938.000000,0
939.000000,0
940.000000,1
941.000000,0
942.000000,0
943.000000,0
944.000000,1
945.000000,1
946.000000,0
947.000000,0
948.000000,0
949.000000,0
950.000000,0
951.000000,1
952.000000,0
953.000000,0
954.000000,0
955.000000,1
956.000000,1
957.000000,1
958.000000,1
959.000000,0
960.000000,0
961.000000,1
962.000000,1
963.000000,0
964.000000,0
965.000000,0
966.000000,1
967.000000,0
968.000000,0
969.000000,1
970.000000,0
971.000000,1
972.000000,1
973.000000,0
974.000000,0
975.000000,0
976.000000,0
977.000000,0
978.000000,1
979.000000,0
980.000000,1
981.000000,1
982.000000,0
983.000000,0
984.000000,1
985.000000,0
986.000000,0
987.000000,0
988.000000,1
989.000000,0
990.000000,0
991.000000,0
992.000000,1
993.000000,0
994.000000,0
995.000000,0
996.000000,1
997.000000,0
998.000000,0
999.000000,0
1000.000000,0
1001.000000,0
1002.000000,0
1003.000000,1
1004.000000,1
1005.000000,1
1006.000000,1
1007.000000,0
1008.000000,0
1009.000000,1
1010.000000,0
1011.000000,1
1012.000000,1
1013.000000,0
1014.000000,1
1015.000000,0
1016.000000,0
1017.000000,0
1018.000000,0
1019.000000,1
1020.000000,0
1021.000000,0
1022.000000,0
1023.000000,1
1024.000000,0
1025.000000,0
1026.000000,0
1027.000000,0
1028.000000,0
1029.000000,0
1030.000000,0
1031.000000,0
1032.000000,0
1033.000000,1
1034.000000,0
1035.000000,0
1036.000000,0
1037.000000,0
1038.000000,0
1039.000000,0
1040.000000,0
1041.000000,0
1042.000000,1
1043.000000,0
1044.000000,0
1045.000000,0
1046.000000,0
1047.000000,0
1048.000000,1
1049.000000,0
1050.000000,0
1051.000000,0
1052.000000,1
1053.000000,1
1054.000000,1
1055.000000,0
1056.000000,0
1057.000000,0
1058.000000,0
1059.000000,0
1060.000000,1
1061.000000,0
1062.000000,0
1063.000000,0
1064.000000,0
1065.000000,0
1066.000000,0
1067.000000,1
1068.000000,1
1069.000000,0
1070.000000,1
1071.000000,1
1072.000000,0
1073.000000,0
1074.000000,1
1075.000000,0
1076.000000,1
1077.000000,0
1078.000000,1
1079.000000,0
1080.000000,0
1081.000000,0
1082.000000,0
1083.000000,0
1084.000000,0
1085.000000,0
1086.000000,1
1087.000000,0
1088.000000,1
1089.000000,0
1090.000000,0
1091.000000,0
1092.000000,1
1093.000000,0
1094.000000,1
1095.000000,1
1096.000000,0
1097.000000,0
1098.000000,1
1099.000000,0
1100.000000,1
1101.000000,0
1102.000000,0
1103.000000,0
1104.000000,0
1105.000000,1
1106.000000,0
1107.000000,0
1108.000000,1
1109.000000,0
1110.000000,1
1111.000000,0
1112.000000,1
1113.000000,0
1114.000000,1
1115.000000,0
1116.000000,1
1117.000000,1
1118.000000,0
1119.000000,1
1120.000000,0
1121.000000,0
1122.000000,0
1123.000000,1
1124.000000,0
1125.000000,0
1126.000000,0
1127.000000,0
1128.000000,0
1129.000000,0
1130.000000,1
1131.000000,1
1132.000000,1
1133.000000,1
1134.000000,0
1135.000000,0
1136.000000,0
1137.000000,0
1138.000000,1
1139.000000,0
1140.000000,1
1141.000000,1
1142.000000,1
1143.000000,0
1144.000000,0
1145.000000,0
1146.000000,0
1147.000000,0
1148.000000,0
1149.000000,0
1150.000000,1
1151.000000,0
1152.000000,0
1153.000000,0
1154.000000,1
1155.000000,0
1156.000000,0
1157.000000,0
1158.000000,0
1159.000000,0
1160.000000,0
1161.000000,0
1162.000000,0
1163.000000,0
1164.000000,1
1165.000000,1
1166.000000,0
1167.000000,1
1168.000000,0
1169.000000,0
1170.000000,0
1171.000000,0
1172.000000,0
1173.000000,0
1174.000000,1
1175.000000,1
1176.000000,0
1177.000000,0
1178.000000,0
1179.000000,0
1180.000000,0
1181.000000,0
1182.000000,0
1183.000000,1
1184.000000,0
1185.000000,1
1186.000000,0
1187.000000,0
1188.000000,1
1189.000000,0
1190.000000,0
1191.000000,0
1192.000000,0
1193.000000,0
1194.000000,0
1195.000000,0
1196.000000,1
1197.000000,1
1198.000000,0
1199.000000,0
1200.000000,0
1201.000000,0
1202.000000,0
1203.000000,0
1204.000000,0
1205.000000,1
1206.000000,1
1207.000000,1
1208.000000,0
1209.000000,0
1210.000000,0
1211.000000,0
1212.000000,0
1213.000000,0
1214.000000,0
1215.000000,0
1216.000000,1
1217.000000,0
1218.000000,1
1219.000000,0
1220.000000,0
1221.000000,0
1222.000000,1
1223.000000,0
1224.000000,0
1225.000000,1
1226.000000,0
1227.000000,0
1228.000000,0
1229.000000,0
1230.000000,0
1231.000000,1
1232.000000,0
1233.000000,0
1234.000000,0
1235.000000,1
1236.000000,0
1237.000000,0
1238.000000,0
1239.000000,1
1240.000000,0
1241.000000,1
